x,y,z,r,p,y
0.0439972,-0.0256358,-0.0057121,177.066,-179.603,-179.847
0.0394669,-0.0254235,-0.00639568,176.951,-179.683,179.956
0.0433413,-0.027716,-0.00883737,177.066,-179.694,-179.882
0.0438548,-0.0299375,-0.00584267,176.934,-179.614,-179.999
0.0485316,-0.02734,-0.00804555,177.032,-179.582,-179.978
0.0483704,-0.0245036,-0.00908511,177.149,-179.653,-179.817
0.0501589,-0.0192034,-0.00940685,177.036,-179.744,-179.854
0.0484805,-0.0182174,-0.010423,176.976,-179.589,-179.841
0.0464939,-0.0180159,-0.00841137,177.063,-179.61,-179.893
0.051033,-0.0175088,-0.0067404,177.041,-179.608,-179.955
0.049678,-0.0181526,-0.0094268,176.93,-179.565,-179.853
0.0467897,-0.0229197,-0.00813112,177.053,-179.661,-179.909
0.0435609,-0.0268325,-0.00904771,177.126,-179.539,-179.931
0.0390308,-0.024346,-0.00995003,176.954,-179.671,-179.904
0.0345864,-0.0269561,-0.015693,177.092,-179.63,-179.815
0.0357008,-0.02631,-0.0123455,177.033,-179.775,-179.848
0.0317682,-0.0295792,-0.00973252,176.991,-179.773,-179.895
0.0382501,-0.0253363,-0.0138912,177.035,-179.683,-179.868
0.0388365,-0.0234397,-0.0117241,176.944,-179.654,-179.877
0.0430876,-0.0199855,-0.0082051,176.951,-179.741,-179.927
0.0461877,-0.0194298,-0.00718869,177.034,-179.684,-179.89
0.0470078,-0.0227624,-0.00451778,177.02,-179.698,-179.998
0.0492694,-0.0236299,-0.00156739,177.071,-179.584,-179.966
0.0529134,-0.0257761,-0.00171615,177.082,-179.569,179.998
0.0508828,-0.0277555,-0.00635421,176.997,-179.572,-179.856
0.0467449,-0.0293112,-0.0114537,177.114,-179.453,-179.957
0.0460478,-0.0247546,-0.0126427,177.099,-179.599,-179.906
0.0427418,-0.0198125,-0.0109469,177.044,-179.712,-179.938
0.0401628,-0.0228136,-0.00740866,177.025,-179.634,-179.929
0.0375505,-0.0215778,-0.0107238,177.035,-179.585,-179.856
0.0412447,-0.0210913,-0.0111168,177.032,-179.599,-179.875
0.0420164,-0.0242155,-0.0096202,177.063,-179.754,-179.765
0.0389548,-0.0228375,-0.0104994,177.012,-179.634,-179.858
0.0386732,-0.0233177,-0.00955503,177.003,-179.665,-179.895
0.038772,-0.0271908,-0.00646989,176.994,-179.649,-179.904
0.0448691,-0.0263645,-0.00883429,177.032,-179.627,-179.812
0.047108,-0.0231478,-0.0136079,176.989,-179.606,-179.911
0.0447121,-0.0223061,-0.00715133,176.85,-179.483,179.985
0.0439711,-0.0233237,-0.0108916,176.979,-179.71,-179.874
0.0459019,-0.0242004,-0.0132438,177.048,-179.594,-179.822
0.0493566,-0.021801,-0.0193016,177.006,-179.626,-179.835
0.0493492,-0.0228354,-0.0189746,177.038,-179.52,-179.805
0.0518337,-0.0268283,-0.015045,177.072,-179.651,-179.859
0.048691,-0.0262831,-0.0114795,177.058,-179.582,-179.945
0.043422,-0.025281,-0.00648936,177.156,-179.698,-179.838
0.0435969,-0.0235407,-0.00562661,176.994,-179.568,-179.882
0.0417268,-0.0212527,-0.0015333,176.968,-179.638,-179.904
0.0448021,-0.0221418,-0.00519642,177.071,-179.694,179.998
0.0459809,-0.0240805,-0.0111306,177.002,-179.617,-179.804
0.0409813,-0.022154,-0.0146239,177.04,-179.618,-179.941
0.044967,-0.0225419,-0.0143001,177.066,-179.64,-179.912
0.04123,-0.0230266,-0.0135827,176.932,-179.655,-179.829
0.0431618,-0.0254768,-0.0143737,176.943,-179.652,-179.845
0.0396054,-0.0227081,-0.0127161,176.965,-179.725,-179.814
0.0415823,-0.0244193,-0.0132126,176.979,-179.63,-179.906
0.0456444,-0.0212539,-0.0131329,176.988,-179.591,-179.848
0.0457967,-0.0203697,-0.0119109,177.02,-179.64,-179.88
0.0442044,-0.0213984,-0.00536269,176.966,-179.679,-179.844
0.0455229,-0.022613,-0.00473361,177.047,-179.682,-179.996
0.0432737,-0.0262388,-0.0019085,177.022,-179.694,-179.906
0.0414417,-0.0238822,-0.00247907,177.072,-179.657,-179.983
0.0486679,-0.026968,-0.00220831,177.113,-179.678,-179.969
0.0478268,-0.025491,-0.00505021,177.01,-179.596,-179.998
0.045817,-0.0265719,-0.00864507,176.997,-179.591,-179.864
0.0434515,-0.0264245,-0.0104804,177.153,-179.663,-179.828
