x,y,z,r,p,y
0.0418697,-0.0237453,-0.00754067,177.007,-179.557,-179.917
0.0417563,-0.0233174,-0.00609957,176.975,-179.626,-179.926
0.041678,-0.0221322,-0.0072286,177.013,-179.667,-179.923
0.0447713,-0.0232368,-0.00623548,177.001,-179.62,-179.918
0.0482583,-0.0243905,-0.00634261,177.073,-179.656,-179.968
0.0482194,-0.0239191,-0.00717238,177.156,-179.517,-179.925
0.0471188,-0.0256529,-0.00690412,177.086,-179.681,-179.97
0.0456841,-0.0242721,-0.00598413,177.068,-179.655,-179.882
0.0417474,-0.0214305,-0.00583906,177.042,-179.67,-179.882
0.0437832,-0.0188728,-0.00794151,176.961,-179.532,-179.863
0.0420637,-0.0189763,-0.0100071,176.99,-179.698,-179.813
0.0437451,-0.0204134,-0.00786649,177.03,-179.633,-179.847
0.0415248,-0.0224205,-0.00820871,176.981,-179.72,-179.9
0.038967,-0.0226413,-0.00584499,176.998,-179.702,-179.952
0.0422418,-0.023981,-0.00874246,177.031,-179.685,-179.962
0.0454833,-0.0244451,-0.00591582,177.032,-179.771,-179.923
0.0438215,-0.0215493,-0.00690464,177.05,-179.759,-179.845
0.0440643,-0.0243458,-0.00928326,176.946,-179.623,-179.92
0.0453991,-0.0260911,-0.0080491,176.891,-179.488,179.986
0.0467163,-0.0265271,-0.00974895,177.073,-179.676,-179.898
0.0509327,-0.0272127,-0.0114447,177.03,-179.477,-179.948
0.0487974,-0.0251603,-0.0124517,177.078,-179.607,-179.864
0.0482136,-0.0245954,-0.0100618,177.019,-179.637,-179.944
0.0478723,-0.0262482,-0.0077165,177.1,-179.648,-179.925
0.0492253,-0.024061,-0.00438472,177.062,-179.683,-179.875
0.0508984,-0.0239407,-0.00891665,177.113,-179.543,-179.831
0.0484104,-0.0247341,-0.00922652,177.088,-179.721,-179.898
0.0471982,-0.0240886,-0.011198,177.022,-179.586,-179.886
0.0415452,-0.0239998,-0.0127449,177.038,-179.677,-179.91
0.0417072,-0.0216421,-0.0129677,177.036,-179.627,-179.853
0.0383619,-0.0208908,-0.0137447,176.951,-179.565,-179.826
0.0352403,-0.0191247,-0.0152454,176.963,-179.665,-179.831
0.0350858,-0.0199448,-0.0146719,176.963,-179.57,-179.91
0.0360445,-0.0220578,-0.0134915,177.002,-179.622,-179.855
0.0381923,-0.0232109,-0.00867789,176.973,-179.654,-179.911
0.0415224,-0.0206871,-0.00936588,177.046,-179.733,-179.864
0.0421291,-0.02262,-0.00908307,176.885,-179.603,-179.887
0.0415559,-0.0205216,-0.00844284,177.009,-179.644,-179.905
0.0471942,-0.0211124,-0.0129032,177.018,-179.682,-179.794
0.0476623,-0.0240464,-0.00876837,176.999,-179.776,-179.864
